name,url,target_url,platform,region,source_type,login_required,robots,server_rendered,js_only,recent_event,upcoming_count,date_quality,time_quality,venue_quality,fee_quality,parser_ease,stability,score,decision,reason,notes,applied_status,source_id,validated_at,live_decision
Social Dance Live Busan Tango,https://www.socialdancelive.com/,https://www.socialdancelive.com/?genre=tango&location=Busan&sort=latest,Independent directory,부산,DIRECTORY,NO,PARTIAL,YES,NO,YES,0,5,5,5,2,3,4,33,ADD_LATER,NO_UPCOMING_EVENTS,PA5 RA4 UC0; verified Milonga R&D on 2026-08-23; query remains mixed genre,NOT_APPLIED,,,ADD_LATER
Milonga Sueno Dulce Events1000 Mirror,https://www.events1000.com/,https://www.events1000.com/KR/Seoul/1084207278362147/Milonga-Sue%C3%B1o-Dulce,Facebook public mirror,서울/La Ventana,ORGANIZER,NO,PARTIAL,YES,NO,YES,0,5,5,5,5,3,2,34,MONITOR,DUPLICATE_ONLY,PA5 RA4 UC0; latest verified post 2026-08-08/event 08-09; rich fields but mirror instability,NOT_APPLIED,,,MONITOR
Cafe de Tango Glartent Mirror,https://www.glartent.com/,https://www.glartent.com/KR/Busan/252403654865773/Cafe-de-Tango,Facebook public mirror,부산,OFFICIAL_VENUE,NO,PARTIAL,YES,NO,NO,0,2,2,4,1,3,2,20,REJECT,NO_RECENT_EVENTS,PA5 RA1 UC0; secondary mirror; weaker and stale compared with official Daum snippets/public calendars,NOT_APPLIED,,,REJECT
Korea Milonga Google Site Busan Sunday,https://sites.google.com/view/tangomilongaincorea/,https://sites.google.com/view/tangomilongaincorea/where-are-you-now/busan/sunday,Google Sites,부산,DIRECTORY,NO,PARTIAL,YES,NO,UNKNOWN,0,4,4,5,4,4,4,31,MONITOR,STALE_RECURRING_DATA,PA5 RA1 UC0; Puerto time conflicts with current TangoNOW; no dated event/published date,NOT_APPLIED,,,MONITOR
EnjoyTango Milonga Orange,https://www.enjoytango.com/,https://www.enjoytango.com/en/app/show.php?aid=1021,International directory,서울/Andante,DIRECTORY,NO,NONE,YES,NO,UNKNOWN,0,4,4,5,4,4,3,31,MONITOR,NO_RECENT_EVENTS,PA5 RA2 UC0; regular weekday/time/address/fee but no explicit event or publish date; invalid robots syntax,NOT_APPLIED,,,MONITOR
Milongas-in Korea Seoul,https://milongas-in.com/,https://milongas-in.com/milongas-in-asia.php?c=Korea&city=seoul,International directory,서울,DIRECTORY,NO,PARTIAL,YES,NO,NO,0,3,3,4,3,4,3,26,REJECT,PAST_ONLY,PA5 RA1 UC0; records mostly 2012-2023; latest edit is not a dated future event,NOT_APPLIED,,,REJECT
Milonga del Ayer Blog,https://itseemstobe.tistory.com/,https://itseemstobe.tistory.com/,Tistory,서울,BLOG,NO,PARTIAL,YES,NO,NO,0,3,3,5,3,4,4,29,ADD_LATER,VENUE_ENRICHMENT_ONLY,PA5 RA2 UC0; latest blog post 2026-07-08; current event feed absent; static venue aliases useful,NOT_APPLIED,,,ADD_LATER
Milonga del Ayer PISTA Article,https://itseemstobe.tistory.com/,https://itseemstobe.tistory.com/entry/%ED%83%B1%EA%B3%A0-%ED%94%BC%EC%8A%A4%ED%83%80-%EB%B0%80%EB%A1%B1%EA%B0%80-%EC%95%88%EB%82%B4,Tistory,서울/PISTA,BLOG,NO,PARTIAL,YES,NO,NO,0,3,3,5,2,4,4,27,ADD_LATER,VENUE_ENRICHMENT_ONLY,PA5 RA1 UC0; published 2025-05-06; address/context seed only,NOT_APPLIED,,,ADD_LATER
Milonga del Ayer EN PAZ Article,https://itseemstobe.tistory.com/,https://itseemstobe.tistory.com/entry/%EA%B0%95%EB%82%A8-%EB%B0%80%EB%A1%B1%EA%B0%80-%EC%97%94%EB%B9%A0%EC%8A%A4,Tistory,서울/EN PAZ,BLOG,NO,PARTIAL,YES,NO,NO,0,3,3,5,2,4,4,27,REJECT,PAST_ONLY,PA5 RA1 UC0; published 2024-12-19; static description only,NOT_APPLIED,,,REJECT
Milonga del Ayer La Ventana Article,https://itseemstobe.tistory.com/,https://itseemstobe.tistory.com/entry/%ED%99%8D%EB%8C%80-%EB%9D%BC%EB%B2%A4%EB%94%B0%EB%82%98-%EB%B0%80%EB%A1%B1%EA%B0%80,Tistory,서울/La Ventana,BLOG,NO,PARTIAL,YES,NO,NO,0,3,3,5,2,4,4,27,ADD_LATER,VENUE_ENRICHMENT_ONLY,PA5 RA1 UC0; published 2025-03-30; venue alias/address only,NOT_APPLIED,,,ADD_LATER
Milonga del Ayer OCHO Article,https://itseemstobe.tistory.com/,https://itseemstobe.tistory.com/entry/%ED%99%8D%EB%8C%80-%EB%B0%80%EB%A1%B1%EA%B0%80-%EC%A0%95%EB%B3%B4,Tistory,서울/OCHO,BLOG,NO,PARTIAL,YES,NO,NO,0,3,3,5,2,4,4,27,REJECT,PAST_ONLY,PA5 RA1 UC0; published 2024-12-13; static recurring schedule may be obsolete,NOT_APPLIED,,,REJECT
Milonga del Ayer Tango Andante Article,https://itseemstobe.tistory.com/,https://itseemstobe.tistory.com/entry/%ED%83%B1%EA%B3%A0-%EC%95%88%EB%8B%A8%ED%85%8C-Tango-Andante,Tistory,서울/Andante,BLOG,NO,PARTIAL,YES,NO,NO,0,3,3,5,2,4,4,27,ADD_LATER,VENUE_ENRICHMENT_ONLY,PA5 RA1 UC0; published 2025-03-17; venue description only,NOT_APPLIED,,,ADD_LATER
GetBailar Tango O Nada,https://getbailar.com/,https://getbailar.com/venues/tango-o-nada-i-seoul,International directory,서울/O Nada,DIRECTORY,NO,PARTIAL,YES,NO,UNKNOWN,0,3,4,5,3,4,3,29,ADD_LATER,VENUE_ENRICHMENT_ONLY,PA5 RA2 UC0; venue/regular schedule seed; no explicit current dated event,NOT_APPLIED,,,ADD_LATER
Tango O Nada Legacy Site,http://milonga.kr/,http://milonga.kr/,Official website,서울,OFFICIAL_VENUE,NO,NONE,YES,NO,NO,0,0,0,0,0,1,1,7,REJECT,NO_EVENT_DATA,PA5 RA0 UC0; HTTP 200 but only 298-byte untitled blank document; no list/detail,NOT_APPLIED,,,REJECT
Seoul Argentine Tango Academy,https://seoultango.com/,https://seoultango.com/,Official website,서울,OFFICIAL_VENUE,NO,NONE,YES,NO,NO,0,1,2,2,0,4,3,17,REJECT,PAST_ONLY,PA5 RA0 UC0; page still exposes November 2023 schedule,NOT_APPLIED,,,REJECT
El Bulin Tango,https://elbulintango.blogspot.com/,https://elbulintango.blogspot.com/,Blogspot,서울,OFFICIAL_VENUE,NO,PARTIAL,YES,NO,NO,0,3,3,4,3,4,4,26,REJECT,PAST_ONLY,PA5 RA0 UC0; latest relevant event content in 2016,NOT_APPLIED,,,REJECT
2017 Seoul Tango Festival,https://leoyflortango.blogspot.com/,https://leoyflortango.blogspot.com/,Blogspot,서울,FESTIVAL,NO,PARTIAL,YES,NO,NO,0,3,3,4,3,4,3,25,REJECT,PAST_ONLY,PA5 RA0 UC0; closed 2017 festival archive,NOT_APPLIED,,,REJECT
Dulce y Leo Practica,https://www.dulcenaleo.com/,https://www.dulcenaleo.com/prac/,Official redirect/Google Form,서울,ORGANIZER,PARTIAL,ALLOW,YES,NO,NO,UNKNOWN,0,0,0,0,1,4,13,MONITOR,NO_EVENT_DATA,PA5 RA2 UC1; public redirect to application form; source page has no date/time/venue/fee metadata,NOT_APPLIED,,,MONITOR
ModooTango Article,https://blog.modootango.com/,https://blog.modootango.com/251,Tistory blog,서울,BLOG,NO,PARTIAL,YES,NO,NO,0,2,2,2,0,4,4,20,REJECT,NO_RECENT_EVENTS,PA5 RA1 UC0; educational article rather than recurring event feed,NOT_APPLIED,,,REJECT
Tango Cafe Kakao Channel,https://pf.kakao.com/_AJwGxd,https://pf.kakao.com/_AJwGxd/6214518,Kakao Channel,서울,COMMUNITY,NO,ALLOW,NO,YES,NO,0,1,1,1,0,1,4,13,REJECT,PAST_ONLY,PA5 RA0 UC0; landing public but body JS-heavy; discoverable post is from 2018,NOT_APPLIED,,,REJECT
Tango Map,https://tango.bien.ltd/,https://tango.bien.ltd/,Independent demo,전국 주장,DIRECTORY,NO,NONE,YES,NO,NO,0,0,0,0,0,1,1,7,REJECT,NO_EVENT_DATA,PA5 RA0 UC0; placeholder names/addresses and Google Maps API planned text; not real event data,NOT_APPLIED,,,REJECT
Maily Tango Directory Article,https://maily.so/allculture/,https://maily.so/allculture/posts/wdr9l431rlx,Maily newsletter,서울,BLOG,PARTIAL,PARTIAL,YES,NO,NO,0,2,1,2,0,3,4,17,REJECT,PAST_ONLY,PA5 RA0 UC0; one article with login modal; not a continuing event board,NOT_APPLIED,,,REJECT
